Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","024","Angola","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","16.553488","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","660","Anguilla","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","18718.318718","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","660","Anguilla","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","-13.42068","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","16110.3124","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","1.561282","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","682","Arabie saoudite","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","20910.482962","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","682","Arabie saoudite","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","4.917488","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","032","Argentine","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","14609.78337","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","032","Argentine","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","14.429876","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","051","Arménie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","4041.995072","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","051","Arménie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","9.838244","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","533","Aruba","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","29329.092343","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","533","Aruba","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","3.090937","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","036","Australie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","57489.804356","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","036","Australie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","6.355818","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","040","Autriche","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","47429.535841","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","040","Autriche","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","4.752368","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","031","Azerbaïdjan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","4057.624007","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","031","Azerbaïdjan","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","6.900086","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","044","Bahamas","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","31303.530973","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","044","Bahamas","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","3.914287","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","048","Bahreïn","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","24349.836847","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","048","Bahreïn","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","6.483332","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","050","Bangladesh","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","1785.836613","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","050","Bangladesh","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","8.119817","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","052","Barbade","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","17881.563253","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","052","Barbade","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","2.877784","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","112","Bélarus","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","5637.218192","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","112","Bélarus","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","14.674484","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","056","Belgique","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","44162.256256","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","056","Belgique","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","5.052642","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","084","Belize","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","6049.391948","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","084","Belize","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","-0.828943","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","204","Bénin","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","1095.274133","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","204","Bénin","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","4.329677","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","060","Bermudes","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","112539.075464","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","060","Bermudes","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","2.844302","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","064","Bhoutan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","3427.173682","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","064","Bhoutan","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","14.660374","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","068","Bolivie (État plurinational de)","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","3280.008213","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","068","Bolivie (État plurinational de)","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","8.843712","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","070","Bosnie-Herzégovine","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","5327.393184","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","070","Bosnie-Herzégovine","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","8.340603","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","072","Botswana","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","6705.339802","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","072","Botswana","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","4.582139","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","076","Brésil","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","9896.717511","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","076","Brésil","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","14.007823","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","096","Brunéi Darussalam","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","28186.946531","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","096","Brunéi Darussalam","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","5.326217","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","100","Bulgarie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","8237.83476","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","100","Bulgarie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","10.683896","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","854","Burkina Faso","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","711.184631","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","854","Burkina Faso","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","6.818791","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","108","Burundi","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","295.620936","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","108","Burundi","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","10.005327","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","132","Cabo Verde","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","3534.343583","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","132","Cabo Verde","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","6.690656","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","116","Cambodge","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","1400.899265","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","116","Cambodge","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","9.350771","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","120","Cameroun","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","1479.862223","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","120","Cameroun","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","3.772389","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","124","Canada","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","45125.109808","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","124","Canada","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","6.633909","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","152","Chili","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","15081.989132","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","152","Chili","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","8.904615","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","159","Chine","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","8955.415311","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","159","Chine","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","8.858026","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","344","Chine - RAS de Hong-Kong","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","45737.483211","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","344","Chine - RAS de Hong-Kong","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","5.996462","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","446","Chine - RAS de Macao","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","78896.274749","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","446","Chine - RAS de Macao","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","9.701493","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","156","Chine, continentale","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","8729.13693","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","156","Chine, continentale","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","8.937468","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","196","Chypre","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","18987.256286","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","196","Chypre","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","8.141471","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","170","Colombie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","6450.319585","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","170","Colombie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","8.619328","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","174","Comores","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","1414.586689","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","174","Comores","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","4.29408","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","178","Congo","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","2227.732609","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","178","Congo","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","5.704053","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","188","Costa Rica","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","12118.133618","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","188","Costa Rica","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","1.834647","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","384","Côte d'Ivoire","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","2113.365991","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","384","Côte d'Ivoire","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","5.709763","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","191","Croatie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","13464.359144","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","191","Croatie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","8.283772","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","192","Cuba","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","8543.360968","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","192","Cuba","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","6.051113","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","531","Curaçao","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","17685.182529","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","531","Curaçao","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","-0.169929","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","208","Danemark","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","57888.203513","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","208","Danemark","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","5.507151","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","262","Djibouti","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","2659.85416","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","262","Djibouti","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","3.93866","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","212","Dominique","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","7395.991648","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","212","Dominique","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","-10.057712","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","818","Égypte","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","1917.049576","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","818","Égypte","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","-29.218427","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","222","El Salvador","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","3986.049014","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","222","El Salvador","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","2.990353","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","784","Émirats arabes unis","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","43063.967477","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","784","Émirats arabes unis","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","4.894532","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","218","Équateur","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","6246.404252","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","218","Équateur","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","2.752312","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","232","Érythrée","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","560.495845","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","232","Érythrée","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","-13.225465","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","724","Espagne","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","28190.806667","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","724","Espagne","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","6.279025","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","233","Estonie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","20435.205904","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","233","Estonie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","11.783644","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","748","Eswatini","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","3822.79341","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","748","Eswatini","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","14.455325","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","840","États-Unis d'Amérique","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","59468.227644","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","840","États-Unis d'Amérique","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","3.476277","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","231","Éthiopie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","709.761008","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","231","Éthiopie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","3.569093","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","643","Fédération de Russie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","10822.770083","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","643","Fédération de Russie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","23.002806","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","242","Fidji","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","5825.224293","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","242","Fidji","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","8.508144","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","246","Finlande","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","46412.760009","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","246","Finlande","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","6.00162","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","250","France","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","40458.149878","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","250","France","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","4.758812","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","266","Gabon","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","6975.769483","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","266","Gabon","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","3.772598","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","270","Gambie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","632.019869","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","270","Gambie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","-0.186313","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","268","Géorgie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","4306.234809","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","268","Géorgie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","7.249475","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","288","Ghana","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","1998.626937","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","288","Ghana","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","5.16842","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","300","Grèce","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","18690.624484","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","300","Grèce","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","4.094119","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","308","Grenade","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","9309.267842","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","308","Grenade","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","5.195242","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","304","Groenland","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","50987.224252","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","304","Groenland","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","5.314177","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","320","Guatemala","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","4322.031108","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","320","Guatemala","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","6.59591","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","324","Guinée","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","843.464278","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","324","Guinée","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","16.963677","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","226","Guinée équatoriale","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","8410.394419","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","226","Guinée équatoriale","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","4.667926","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","624","Guinée-Bissau","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","718.245738","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","624","Guinée-Bissau","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","11.760345","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","328","Guyana","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","6220.978568","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","328","Guyana","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","5.344251","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","332","Haïti","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","1405.447377","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","332","Haïti","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","12.45012","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","340","Honduras","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","2403.306094","X","Ciffre de sources internationales",""
